tabela,coluna,linhas,vazios_bronze,vazios_silver,percentual
entrega,dt_entrada_base,2664991,1427228,1427228,53.55
pedido,campanha_id,1776391,1411799,1411799,79.48
entrega,recebedor,2664991,1261740,1261740,47.35
minuta,veiculo_id,214692,85050,85050,39.61
pedido,peso_real_kg,1776391,57267,57267,3.22
pedido,volume_real_m3,1776391,57267,57267,3.22
ocorrencia,dt_cancelada,48793,48793,48793,100.0
ocorrencia,entrega_id,48793,26711,26711,54.74
endereco,latitude,19697,19697,19697,100.0
endereco,longitude,19697,19697,19697,100.0
pedido_fase,dt_saida,14589229,7182,7182,0.05
pedido,nf_numero,1776391,4127,4127,0.23
endereco,documento,19697,3877,3877,19.68
entrega,dt_chegada,2664991,1357,1357,0.05
entrega,fl_sucesso,2664991,1357,1357,0.05
item,valor_unitario,6804,345,345,5.07
organizacao,dt_cancelamento,240,135,135,56.25
organizacao,porte,240,37,37,15.42
organizacao,otif_contratual,240,37,37,15.42
organizacao,fl_entrega_agendada,240,37,37,15.42
transportador,cnpj,19,7,7,36.84
ocorrencia,observacao,48793,0,717,0.0
