chave_endereco,cadastros_no_grupo,id,nome_local,logradouro,bairro,cidade,uf,cep
ruadasflores3796|saopaulo|SP,4,8609,Mercado do Vale,"Rua das Flores, 3796",Industrial,São Paulo,SP,63304980
ruadasflores3796|saopaulo|SP,4,8656,Distribuidora Popular,"Rua das Flores, 3796",Centro,São Paulo,SP,39095670
ruadasflores3796|saopaulo|SP,4,11989,Loja Ideal,"Rua das Flores, 3796",Jardim,São Paulo,SP,14922290
ruadasflores3796|saopaulo|SP,4,14041,Distribuidora do Vale,"Rua das Flores, 3796",Vila Nova,São Paulo,SP,87923380
ruabrasil1713|saopaulo|SP,3,1677,Clínica Central,"Rua Brasil, 1713",Centro,São Paulo,SP,14519130
ruabrasil1713|saopaulo|SP,3,13037,Consultório Sul,"Rua Brasil, 1713",Vila Nova,São Paulo,SP,26352560
ruabrasil1713|saopaulo|SP,3,15015,Clínica Popular,"Rua Brasil, 1713",Vila Nova,São Paulo,SP,29744150
ruabrasil3919|saopaulo|SP,3,2477,Clínica Central,"Rua Brasil, 3919",Jardim,São Paulo,SP,16993560
ruabrasil3919|saopaulo|SP,3,8758,Clínica do Vale,"Rua Brasil, 3919",Industrial,São Paulo,SP,89123760
ruabrasil3919|saopaulo|SP,3,13742,Atacado Sul,"Rua Brasil, 3919",Centro,São Paulo,SP,64791370
ruadasflores2167|saopaulo|SP,3,2318,Loja Norte,"Rua das Flores, 2167",Jardim,São Paulo,SP,47841920
ruadasflores2167|saopaulo|SP,3,2907,Clínica Real,"Rua das Flores, 2167",Jardim,São Paulo,SP,69253930
ruadasflores2167|saopaulo|SP,3,11725,Clínica Sul,"Rua das Flores, 2167",Centro,São Paulo,SP,60047810
ruadasflores2179|saopaulo|SP,3,2772,Loja Sul,"Rua das Flores, 2179",Jardim,São Paulo,SP,91824510
ruadasflores2179|saopaulo|SP,3,6461,Distribuidora Norte,"Rua das Flores, 2179",Vila Nova,São Paulo,SP,60835260
ruadasflores2179|saopaulo|SP,3,10744,Distribuidora Popular,"Rua das Flores, 2179",Vila Nova,São Paulo,SP,19993590
ruadasflores2869|curitiba|PR,3,5430,Centro de Distribuição Central,"Rua das Flores, 2869",Industrial,Curitiba,PR,76347020
ruadasflores2869|curitiba|PR,3,12408,Mercado do Vale,"Rua das Flores, 2869",Industrial,Curitiba,PR,32869310
ruadasflores2869|curitiba|PR,3,17042,Farmácia Ideal,"Rua das Flores, 2869",Centro,Curitiba,PR,16284580
ruaxvdenovembro2577|saopaulo|SP,3,360,Mercado Central,"Rua Xv de Novembro, 2577",Jardim,São Paulo,SP,21116520
ruaxvdenovembro2577|saopaulo|SP,3,8018,Farmácia Ideal,"Rua Xv de Novembro, 2577",Industrial,São Paulo,SP,50210490
ruaxvdenovembro2577|saopaulo|SP,3,14313,Consultório Ideal,"Rua Xv de Novembro, 2577",Jardim,São Paulo,SP,46010050
ruaxvdenovembro3143|saopaulo|SP,3,3777,Farmácia Real,"Rua Xv de Novembro, 3143",Centro,São Paulo,SP,58780200
ruaxvdenovembro3143|saopaulo|SP,3,3995,Centro de Distribuição Central,"Rua Xv de Novembro, 3143",Jardim,São Paulo,SP,76559130
ruaxvdenovembro3143|saopaulo|SP,3,15314,Centro de Distribuição do Vale,"Rua Xv de Novembro, 3143",Jardim,São Paulo,SP,74557760
ruaxvdenovembro3874|saopaulo|SP,3,1229,Loja Popular,"Rua Xv de Novembro, 3874",Jardim,São Paulo,SP,93892890
ruaxvdenovembro3874|saopaulo|SP,3,3180,Consultório Central,"Rua Xv de Novembro, 3874",Jardim,São Paulo,SP,23183050
ruaxvdenovembro3874|saopaulo|SP,3,5331,Distribuidora Real,"Rua Xv de Novembro, 3874",Vila Nova,São Paulo,SP,85548330
ruabrasil1011|belohorizonte|MG,2,7407,Farmácia Norte,"Rua Brasil, 1011",Industrial,Belo Horizonte,MG,87817360
ruabrasil1011|belohorizonte|MG,2,10217,Atacado Sul,"Rua Brasil, 1011",Industrial,Belo Horizonte,MG,11621820
ruabrasil1057|saopaulo|SP,2,9072,Mercado Real,"Rua Brasil, 1057",Industrial,São Paulo,SP,54492500
ruabrasil1057|saopaulo|SP,2,18297,Farmácia Norte,"Rua Brasil, 1057",Vila Nova,São Paulo,SP,78816600
ruabrasil1113|saopaulo|SP,2,276,Atacado do Vale,"Rua Brasil, 1113",Jardim,São Paulo,SP,61862180
ruabrasil1113|saopaulo|SP,2,16622,Atacado Central,"Rua Brasil, 1113",Vila Nova,São Paulo,SP,74491530
ruabrasil1148|riodejaneiro|RJ,2,12007,Loja Ideal,"Rua Brasil, 1148",Vila Nova,Rio de Janeiro,RJ,99365440
ruabrasil1148|riodejaneiro|RJ,2,13918,Mercado Ideal,"Rua Brasil, 1148",Vila Nova,Rio de Janeiro,RJ,96677050
ruabrasil1219|ananindeua|PA,2,3531,Loja Popular,"Rua Brasil, 1219",Industrial,Ananindeua,PA,95924780
ruabrasil1219|ananindeua|PA,2,14702,Farmácia Norte,"Rua Brasil, 1219",Industrial,Ananindeua,PA,80132570
ruabrasil1239|salvador|BA,2,16109,Centro de Distribuição Sul,"Rua Brasil, 1239",Industrial,Salvador,BA,28081130
ruabrasil1239|salvador|BA,2,19604,Centro de Distribuição Sul,"Rua Brasil, 1239",Jardim,Salvador,BA,32452430
ruabrasil1280|salvador|BA,2,419,Mercado Central,"Rua Brasil, 1280",Centro,Salvador,BA,13745800
ruabrasil1280|salvador|BA,2,12762,Consultório Sul,"Rua Brasil, 1280",Industrial,Salvador,BA,85065490
ruabrasil1305|belohorizonte|MG,2,10666,Loja Real,"Rua Brasil, 1305",Industrial,Belo Horizonte,MG,67943120
