tabela,coluna,antes,depois,ocorrencias,motivo
entrega,recebedor,ROBERTO,Roberto,9551,caixa alta corrigida
entrega,recebedor,LUIZ,Luiz,9534,caixa alta corrigida
entrega,recebedor,PAULA,Paula,9524,caixa alta corrigida
entrega,recebedor,MARIA,Maria,9479,caixa alta corrigida
entrega,recebedor,CARLOS,Carlos,9412,caixa alta corrigida
entrega,recebedor,FERNANDA,Fernanda,9358,caixa alta corrigida
entrega,recebedor,JOSÉ,José,9350,caixa alta corrigida
entrega,recebedor,ANA,Ana,9325,caixa alta corrigida
entrega,recebedor,  Paula ,Paula,5335,espaço nas pontas
entrega,recebedor,  Fernanda ,Fernanda,5321,espaço nas pontas
entrega,recebedor,  Luiz ,Luiz,5309,espaço nas pontas
entrega,recebedor,  Ana ,Ana,5276,espaço nas pontas
entrega,recebedor,  José ,José,5241,espaço nas pontas
entrega,recebedor,  Roberto ,Roberto,5233,espaço nas pontas
entrega,recebedor,  Maria ,Maria,5226,espaço nas pontas
entrega,recebedor,  Carlos ,Carlos,5206,espaço nas pontas
entrega,recebedor,paula,Paula,3204,caixa corrigida
entrega,recebedor,luiz,Luiz,3199,caixa corrigida
entrega,recebedor,ana,Ana,3188,caixa corrigida
entrega,recebedor,maria,Maria,3171,caixa corrigida
entrega,recebedor,carlos,Carlos,3163,caixa corrigida
entrega,recebedor,fernanda,Fernanda,3161,caixa corrigida
entrega,recebedor,roberto,Roberto,3121,caixa corrigida
entrega,recebedor,josé,José,3104,caixa corrigida
entrega,recebedor,LUIZ SOUZA,Luiz Souza,1148,caixa alta corrigida
entrega,recebedor,FERNANDA SILVA,Fernanda Silva,1115,caixa alta corrigida
entrega,recebedor,JOSÉ SOUZA,José Souza,1105,caixa alta corrigida
entrega,recebedor,PAULA SANTOS,Paula Santos,1100,caixa alta corrigida
entrega,recebedor,PAULA SILVA,Paula Silva,1093,caixa alta corrigida
entrega,recebedor,MARIA SILVA,Maria Silva,1087,caixa alta corrigida
entrega,recebedor,CARLOS SANTOS,Carlos Santos,1082,caixa alta corrigida
entrega,recebedor,ROBERTO SANTOS,Roberto Santos,1076,caixa alta corrigida
entrega,recebedor,JOSÉ SILVA,José Silva,1074,caixa alta corrigida
entrega,recebedor,FERNANDA SOUZA,Fernanda Souza,1073,caixa alta corrigida
entrega,recebedor,LUIZ SILVA,Luiz Silva,1065,caixa alta corrigida
entrega,recebedor,MARIA SOUZA,Maria Souza,1062,caixa alta corrigida
entrega,recebedor,JOSÉ SANTOS,José Santos,1061,caixa alta corrigida
entrega,recebedor,ANA SILVA,Ana Silva,1058,caixa alta corrigida
entrega,recebedor,CARLOS SOUZA,Carlos Souza,1054,caixa alta corrigida
entrega,recebedor,ANA SANTOS,Ana Santos,1049,caixa alta corrigida
entrega,recebedor,CARLOS SILVA,Carlos Silva,1049,caixa alta corrigida
entrega,recebedor,PAULA SOUZA,Paula Souza,1040,caixa alta corrigida
entrega,recebedor,ROBERTO SILVA,Roberto Silva,1038,caixa alta corrigida
entrega,recebedor,FERNANDA SANTOS,Fernanda Santos,1032,caixa alta corrigida
entrega,recebedor,ROBERTO SOUZA,Roberto Souza,1032,caixa alta corrigida
entrega,recebedor,ANA SOUZA,Ana Souza,1031,caixa alta corrigida
entrega,recebedor,MARIA SANTOS,Maria Santos,1026,caixa alta corrigida
entrega,recebedor,LUIZ SANTOS,Luiz Santos,982,caixa alta corrigida
endereco,cidade,SÃO PAULO,São Paulo,515,caixa alta corrigida
endereco,cidade,RIO DE JANEIRO,Rio de Janeiro,365,caixa alta corrigida
endereco,cidade,BELO HORIZONTE,Belo Horizonte,280,caixa alta corrigida
endereco,cidade,Sao Paulo,São Paulo,271,acento restaurado
endereco,cidade,CURITIBA,Curitiba,209,caixa alta corrigida
ocorrencia,observacao,-,,206,convertido em ausência
endereco,cidade,CAMPINAS,Campinas,204,caixa alta corrigida
endereco,cidade,GUARULHOS,Guarulhos,179,caixa alta corrigida
endereco,cidade,PORTO ALEGRE,Porto Alegre,158,caixa alta corrigida
endereco,cidade,BRASÍLIA,Brasília,128,caixa alta corrigida
endereco,nome_local,MERCADO POPULAR,Mercado Popular,127,caixa alta corrigida
endereco,cidade,SALVADOR,Salvador,123,caixa alta corrigida
endereco,nome_local,DISTRIBUIDORA SUL,Distribuidora Sul,116,caixa alta corrigida
endereco,nome_local,MERCADO SUL,Mercado Sul,115,caixa alta corrigida
endereco,nome_local,LOJA REAL,Loja Real,114,caixa alta corrigida
endereco,nome_local,DISTRIBUIDORA POPULAR,Distribuidora Popular,113,caixa alta corrigida
ocorrencia,observacao,sem informacao,,113,convertido em ausência
endereco,nome_local,MERCADO CENTRAL,Mercado Central,112,caixa alta corrigida
endereco,nome_local,FARMÁCIA NORTE,Farmácia Norte,110,caixa alta corrigida
endereco,nome_local,LOJA SUL,Loja Sul,110,caixa alta corrigida
endereco,nome_local,CENTRO DE DISTRIBUIÇÃO IDEAL,Centro de Distribuição Ideal,110,caixa alta corrigida
endereco,nome_local,ATACADO NORTE,Atacado Norte,110,caixa alta corrigida
endereco,nome_local,ATACADO SUL,Atacado Sul,109,caixa alta corrigida
endereco,nome_local,ATACADO CENTRAL,Atacado Central,109,caixa alta corrigida
ocorrencia,observacao,...,,108,convertido em ausência
endereco,cidade,RECIFE,Recife,108,caixa alta corrigida
endereco,nome_local,ATACADO POPULAR,Atacado Popular,108,caixa alta corrigida
endereco,nome_local,LOJA CENTRAL,Loja Central,108,caixa alta corrigida
endereco,nome_local,MERCADO REAL,Mercado Real,107,caixa alta corrigida
endereco,nome_local,ATACADO IDEAL,Atacado Ideal,107,caixa alta corrigida
endereco,cidade,SANTO ANDRÉ,Santo André,106,caixa alta corrigida
endereco,nome_local,LOJA DO VALE,Loja do Vale,106,caixa alta corrigida
ocorrencia,observacao,(verificar),,104,convertido em ausência
endereco,nome_local,ATACADO DO VALE,Atacado do Vale,103,caixa alta corrigida
endereco,nome_local,MERCADO NORTE,Mercado Norte,103,caixa alta corrigida
endereco,nome_local,LOJA POPULAR,Loja Popular,102,caixa alta corrigida
endereco,nome_local,CONSULTÓRIO REAL,Consultório Real,101,caixa alta corrigida
endereco,nome_local,DISTRIBUIDORA IDEAL,Distribuidora Ideal,101,caixa alta corrigida
endereco,nome_local,MERCADO IDEAL,Mercado Ideal,101,caixa alta corrigida
endereco,nome_local,MERCADO DO VALE,Mercado do Vale,100,caixa alta corrigida
endereco,nome_local,CLÍNICA POPULAR,Clínica Popular,99,caixa alta corrigida
endereco,cidade,SAO PAULO,São Paulo,99,acento restaurado
endereco,nome_local,DISTRIBUIDORA NORTE,Distribuidora Norte,99,caixa alta corrigida
endereco,nome_local,DISTRIBUIDORA DO VALE,Distribuidora do Vale,98,caixa alta corrigida
endereco,nome_local,FARMÁCIA POPULAR,Farmácia Popular,98,caixa alta corrigida
endereco,cidade,OSASCO,Osasco,98,caixa alta corrigida
ocorrencia,observacao,N/A,,97,convertido em ausência
endereco,nome_local,CLÍNICA IDEAL,Clínica Ideal,95,caixa alta corrigida
endereco,nome_local,CENTRO DE DISTRIBUIÇÃO REAL,Centro de Distribuição Real,95,caixa alta corrigida
endereco,nome_local,CENTRO DE DISTRIBUIÇÃO SUL,Centro de Distribuição Sul,94,caixa alta corrigida
endereco,nome_local,CLÍNICA NORTE,Clínica Norte,94,caixa alta corrigida
endereco,cidade,FORTALEZA,Fortaleza,94,caixa alta corrigida
endereco,nome_local,DISTRIBUIDORA REAL,Distribuidora Real,94,caixa alta corrigida
endereco,nome_local,LOJA IDEAL,Loja Ideal,92,caixa alta corrigida
endereco,nome_local,FARMÁCIA CENTRAL,Farmácia Central,92,caixa alta corrigida
endereco,nome_local,CENTRO DE DISTRIBUIÇÃO POPULAR,Centro de Distribuição Popular,92,caixa alta corrigida
endereco,nome_local,CLÍNICA DO VALE,Clínica do Vale,90,caixa alta corrigida
endereco,nome_local,CLÍNICA REAL,Clínica Real,89,caixa alta corrigida
endereco,nome_local,ATACADO REAL,Atacado Real,89,caixa alta corrigida
ocorrencia,observacao,??,,89,convertido em ausência
endereco,nome_local,DISTRIBUIDORA CENTRAL,Distribuidora Central,88,caixa alta corrigida
endereco,nome_local,CONSULTÓRIO SUL,Consultório Sul,87,caixa alta corrigida
endereco,nome_local,CONSULTÓRIO IDEAL,Consultório Ideal,87,caixa alta corrigida
endereco,nome_local,LOJA NORTE,Loja Norte,87,caixa alta corrigida
endereco,nome_local,FARMÁCIA IDEAL,Farmácia Ideal,86,caixa alta corrigida
endereco,cidade,RIBEIRÃO PRETO,Ribeirão Preto,86,caixa alta corrigida
endereco,cidade,JOINVILLE,Joinville,85,caixa alta corrigida
endereco,nome_local,CENTRO DE DISTRIBUIÇÃO DO VALE,Centro de Distribuição do Vale,85,caixa alta corrigida
endereco,nome_local,FARMÁCIA REAL,Farmácia Real,85,caixa alta corrigida
endereco,nome_local,CONSULTÓRIO NORTE,Consultório Norte,85,caixa alta corrigida
endereco,cidade,SOROCABA,Sorocaba,84,caixa alta corrigida
endereco,nome_local,FARMÁCIA SUL,Farmácia Sul,84,caixa alta corrigida
endereco,nome_local,CONSULTÓRIO CENTRAL,Consultório Central,84,caixa alta corrigida
endereco,nome_local,FARMÁCIA DO VALE,Farmácia do Vale,83,caixa alta corrigida
endereco,nome_local,CENTRO DE DISTRIBUIÇÃO NORTE,Centro de Distribuição Norte,82,caixa alta corrigida
endereco,nome_local,CLÍNICA CENTRAL,Clínica Central,82,caixa alta corrigida
endereco,nome_local,CONSULTÓRIO DO VALE,Consultório do Vale,81,caixa alta corrigida
endereco,cidade,SANTOS,Santos,80,caixa alta corrigida
endereco,nome_local,CENTRO DE DISTRIBUIÇÃO CENTRAL,Centro de Distribuição Central,79,caixa alta corrigida
endereco,nome_local,CLÍNICA SUL,Clínica Sul,78,caixa alta corrigida
endereco,nome_local,CONSULTÓRIO POPULAR,Consultório Popular,77,caixa alta corrigida
endereco,cidade,GOIÂNIA,Goiânia,67,caixa alta corrigida
endereco,cidade,SÃO JOSÉ DOS CAMPOS,São José dos Campos,65,caixa alta corrigida
endereco,cidade,LONDRINA,Londrina,64,caixa alta corrigida
endereco,cidade,Ribeirao Preto,Ribeirão Preto,62,acento restaurado
ocorrencia,observacao,Divergência de cadastro na pré-conferência  ,Divergência de cadastro na pré-conferência,61,espaço nas pontas
endereco,cidade,CONTAGEM,Contagem,60,caixa alta corrigida
endereco,cidade,CAXIAS DO SUL,Caxias do Sul,58,caixa alta corrigida
endereco,cidade,FLORIANÓPOLIS,Florianópolis,58,caixa alta corrigida
endereco,cidade,FEIRA DE SANTANA,Feira de Santana,57,caixa alta corrigida
endereco,cidade,VITÓRIA,Vitória,57,caixa alta corrigida
endereco,cidade,Brasilia,Brasília,56,acento restaurado
endereco,cidade,BAURU,Bauru,56,caixa alta corrigida
ocorrencia,observacao,Falha na entrega; reentrega programada  ,Falha na entrega; reentrega programada,56,espaço nas pontas
endereco,cidade,DUQUE DE CAXIAS,Duque de Caxias,55,caixa alta corrigida
endereco,cidade,UBERLÂNDIA,Uberlândia,54,caixa alta corrigida
endereco,cidade,NATAL,Natal,53,caixa alta corrigida
endereco,cidade,MANAUS,Manaus,50,caixa alta corrigida
endereco,cidade,CUIABÁ,Cuiabá,50,caixa alta corrigida
endereco,nome_local,Farmacia Norte,Farmácia Norte,49,acento restaurado
endereco,nome_local,Farmacia Ideal,Farmácia Ideal,48,acento restaurado
endereco,nome_local,Clinica Ideal,Clínica Ideal,47,acento restaurado
endereco,cidade,JUIZ DE FORA,Juiz de Fora,47,caixa alta corrigida
endereco,cidade,BLUMENAU,Blumenau,46,caixa alta corrigida
endereco,cidade,Santo Andre,Santo André,46,acento restaurado
endereco,cidade,Sao Jose dos Campos,São José dos Campos,44,acento restaurado
endereco,nome_local,Farmacia Sul,Farmácia Sul,44,acento restaurado
endereco,nome_local,Centro de Distribuicao Real,Centro de Distribuição Real,44,acento restaurado
endereco,cidade,JUNDIAÍ,Jundiaí,43,caixa alta corrigida
endereco,nome_local,Centro de Distribuicao Popular,Centro de Distribuição Popular,42,acento restaurado
endereco,cidade,Florianopolis,Florianópolis,42,acento restaurado
endereco,nome_local,Consultorio Central,Consultório Central,42,acento restaurado
endereco,nome_local,Consultorio Popular,Consultório Popular,42,acento restaurado
endereco,nome_local,Centro de Distribuicao Ideal,Centro de Distribuição Ideal,41,acento restaurado
endereco,cidade,SÃO LUÍS,São Luís,41,caixa alta corrigida
endereco,cidade,CAMPO GRANDE,Campo Grande,41,caixa alta corrigida
endereco,nome_local,Consultorio Sul,Consultório Sul,41,acento restaurado
endereco,nome_local,Farmacia do Vale,Farmácia do Vale,41,acento restaurado
endereco,nome_local,Consultorio Norte,Consultório Norte,41,acento restaurado
endereco,nome_local,Clinica Norte,Clínica Norte,40,acento restaurado
endereco,nome_local,Centro de Distribuicao Sul,Centro de Distribuição Sul,40,acento restaurado
endereco,cidade,VILA VELHA,Vila Velha,40,caixa alta corrigida
endereco,nome_local,Consultorio Real,Consultório Real,38,acento restaurado
endereco,nome_local,Clinica Sul,Clínica Sul,38,acento restaurado
endereco,nome_local,Clinica Popular,Clínica Popular,37,acento restaurado
endereco,cidade,BELÉM,Belém,37,caixa alta corrigida
endereco,nome_local,Centro de Distribuicao do Vale,Centro de Distribuição do Vale,37,acento restaurado
endereco,nome_local,Farmacia Popular,Farmácia Popular,37,acento restaurado
endereco,cidade,CAMPOS DOS GOYTACAZES,Campos dos Goytacazes,36,caixa alta corrigida
endereco,cidade,Jundiai,Jundiaí,36,acento restaurado
endereco,cidade,NITERÓI,Niterói,36,caixa alta corrigida
endereco,cidade,PRESIDENTE PRUDENTE,Presidente Prudente,35,caixa alta corrigida
endereco,nome_local,Centro de Distribuicao Norte,Centro de Distribuição Norte,35,acento restaurado
endereco,nome_local,Farmacia Real,Farmácia Real,34,acento restaurado
endereco,cidade,SÃO JOSÉ DO RIO PRETO,São José do Rio Preto,34,caixa alta corrigida
endereco,cidade,Uberlandia,Uberlândia,34,acento restaurado
endereco,nome_local,Clinica Real,Clínica Real,33,acento restaurado
endereco,nome_local,Consultorio do Vale,Consultório do Vale,33,acento restaurado
endereco,cidade,ITAJAÍ,Itajaí,32,caixa alta corrigida
endereco,cidade,MARINGÁ,Maringá,32,caixa alta corrigida
endereco,nome_local,Consultorio Ideal,Consultório Ideal,32,acento restaurado
endereco,nome_local,Clinica do Vale,Clínica do Vale,31,acento restaurado
endereco,cidade,Goiania,Goiânia,31,acento restaurado
endereco,cidade,ARACAJU,Aracaju,31,caixa alta corrigida
endereco,nome_local,Farmacia Central,Farmácia Central,31,acento restaurado
endereco,cidade,JUAZEIRO DO NORTE,Juazeiro do Norte,30,caixa alta corrigida
endereco,cidade,Vitoria,Vitória,30,acento restaurado
endereco,cidade,JABOATÃO DOS GUARARAPES,Jaboatão dos Guararapes,30,caixa alta corrigida
endereco,cidade,VARGINHA,Varginha,29,caixa alta corrigida
endereco,cidade,MONTES CLAROS,Montes Claros,29,caixa alta corrigida
endereco,cidade,RIBEIRAO PRETO,Ribeirão Preto,29,acento restaurado
