sigla,n_itens,n_destinatarios,pedidos_mes_base,pct_grade,pct_exclusivo,fator_preco,fator_custo,deposito,estoca
WKA,145,579,9052.3,0.76,0.117,0.664,1.429,0.51,True
DRH,116,593,8295.4,0.77,0.021,0.705,1.157,0.06,True
STK,128,614,10048.6,0.75,0.119,0.582,1.124,0.24,True
LXM,105,741,6130.3,0.68,0.003,0.53,1.125,0.01,True
GCH,132,546,3994.7,0.56,0.003,0.61,1.397,0.78,True
MGV,20,38,89,0.21,0.015,0.925,0.982,0.11,True
VGM,74,208,184,0.69,0.011,0.58,1.23,0.05,True
VTC,15,37,75,0.16,0.028,0.943,0.941,0.13,True
VGB,66,120,355,0.68,0.026,0.594,1.395,0.54,True
MGF,9,3,7,0.25,0.014,0.981,1.053,0.04,False
BSB,11,15,13,0.08,0.009,1.022,1.035,0.09,False
TAT,39,44,55,0.1,0.01,0.939,0.948,0.12,False
SGS,68,158,402,0.63,0.018,0.676,1.187,0.09,True
BAB,60,91,254,0.78,0.02,0.89,0.977,0.78,True
VFV,69,236,202,0.61,0.001,0.606,1.277,0.6,True
LMB,17,11,15,0.11,0.003,1.063,0.935,0.11,True
NBN,17,5,7,0.26,0.001,0.931,0.93,0.13,False
NCN,8,3,5,0.26,0.012,0.932,0.902,0.1,False
SFR,17,14,12,0.2,0.004,1.023,1.037,0.01,False
VTT,65,145,179,0.69,0.019,0.523,1.223,0.17,True
DDD,32,46,66,0.27,0.018,0.911,0.909,0.18,False
NSN,18,39,84,0.33,0.01,0.895,0.933,0.17,True
MSM,36,49,38,0.18,0.021,0.875,0.95,0.17,False
ECS,40,57,51,0.32,0.014,0.873,0.987,0.19,False
VVV,15,5,25,0.06,0.015,0.967,1.06,0.19,False
LGF,19,14,9,0.25,0.018,0.951,1.016,0.09,False
AGG,46,162,419,0.77,0.001,0.667,1.226,0.6,True
CSC,33,33,30,0.17,0.023,0.867,1.0,0.05,True
SMS,38,38,31,0.07,0.007,0.909,0.934,0.1,False
VLV,25,28,48,0.19,0.007,0.936,0.92,0.2,True
EBS,6,1,6,0.05,0.018,1.044,0.926,0.21,False
CDC,37,50,82,0.07,0.01,1.025,0.978,0.2,False
MFM,48,90,377,0.62,0.025,0.553,1.118,0.11,True
LCL,12,7,17,0.09,0.003,0.975,1.049,0.07,False
DHD,36,41,45,0.21,0.002,1.01,1.015,0.02,True
AST,20,14,9,0.07,0.008,0.925,0.944,0.05,False
CHC,15,46,37,0.23,0.03,0.951,1.053,0.11,True
ANG,30,59,69,0.19,0.015,0.941,0.897,0.17,True
LJL,61,224,403,0.82,0.027,0.731,1.262,0.06,True
GEG,50,85,394,0.56,0.021,0.536,1.246,0.07,True
OLR,9,11,18,0.2,0.02,1.021,0.9,0.2,False
LDL,15,13,17,0.05,0.028,0.958,0.973,0.1,False
MLM,46,184,305,0.83,0.014,1.0,1.029,0.16,True
MCM,31,36,42,0.35,0.0,1.033,0.966,0.06,False
CGD,76,213,196,0.68,0.016,0.593,1.213,0.57,True
CBC,38,34,73,0.21,0.024,0.94,1.024,0.25,False
BFB,48,160,247,0.8,0.02,0.554,1.11,0.6,True
VPV,76,220,377,0.7,0.029,0.752,1.322,0.13,True
FGV,19,6,8,0.07,0.024,0.968,0.934,0.11,True
MEM,76,146,211,0.74,0.007,1.014,1.03,0.03,True
TGT,18,5,23,0.33,0.007,0.957,0.931,0.03,False
PHP,3,1,1,0.25,0.024,0.968,1.022,0.14,False
PBP,12,6,10,0.3,0.021,0.931,0.956,0.22,True
MMM,74,248,301,0.61,0.021,0.717,1.183,0.57,True
ADR,20,10,13,0.17,0.009,0.986,1.045,0.15,False
MLR,41,187,171,0.67,0.01,0.601,1.242,0.79,True
NTR,22,24,53,0.2,0.03,0.975,1.043,0.04,True
PPP,10,14,21,0.16,0.013,1.067,0.992,0.04,False
RBT,26,39,43,0.22,0.025,0.934,0.916,0.1,True
DBD,9,1,2,0.24,0.016,1.076,0.999,0.05,False
ATX,20,30,68,0.11,0.008,0.988,1.007,0.05,True
TRS,25,32,63,0.16,0.021,0.932,0.945,0.02,True
WDW,22,35,86,0.34,0.005,1.033,1.019,0.08,True
OJR,34,24,89,0.06,0.02,1.036,1.055,0.1,True
AHG,16,8,13,0.29,0.028,1.043,1.001,0.01,True
MBT,9,6,13,0.13,0.001,1.055,1.031,0.17,False
EGC,54,86,343,0.75,0.004,0.604,1.138,0.82,True
AGS,14,12,18,0.07,0.012,1.052,0.89,0.13,False
MBR,17,42,31,0.27,0.014,1.029,0.974,0.23,True
VSV,17,6,6,0.07,0.014,0.936,1.019,0.11,False
AOR,22,37,41,0.06,0.02,0.968,0.887,0.01,False
DGH,5,3,4,0.13,0.029,0.947,0.991,0.1,False
DGP,38,230,276,0.76,0.026,0.542,1.291,0.04,True
TTG,35,48,42,0.25,0.018,1.02,0.912,0.2,False
SOS,64,142,378,0.82,0.006,0.742,1.414,0.85,True
