sigla,razao_social,nome_fantasia,cnpj,tipo_parceria,porte,segmento,fl_entrega_agendada,dt_inicio_contrato,dt_cancelamento,ativo,otif_contratual,perfil
WKA,Woonka Chocolates INDÚSTRIA E COMÉRCIO LTDA,Woonka Chocolates,46044451000121,CLIENTE,MEGA,ALIMENTICIO,True,2017-03-15,,True,0.96,REGULAR
DRH,Derma Health COMÉRCIO E DISTRIBUIÇÃO LTDA,Derma Health,92786134000106,CLIENTE,MEGA,COSMETICOS_DERMATOLOGICOS,True,2017-08-02,,True,0.97,REGULAR
STK,Stark Technologi COMÉRCIO E DISTRIBUIÇÃO LTDA,Stark Technologi,85331711000100,CLIENTE,MEGA,ELETRONICOS,False,2018-05-10,,True,0.97,REGULAR
LXM,Lux Acessórios & Moda COMÉRCIO LTDA,Lux Acessórios & Moda,75021251000151,CLIENTE,MEGA,MODA_ACESSORIOS,True,2019-02-20,,True,0.97,REGULAR
GCH,Green Chemmical INDÚSTRIA QUÍMICA LTDA,Green Chemmical,21655656000112,CLIENTE,MEGA,QUIMICO_LIMPEZA,True,2020-09-08,,True,0.97,REGULAR
MGV,Med Group Vitta COMÉRCIO E DISTRIBUIÇÃO LTDA,Med Group Vitta,40188919000175,CLIENTE,MEDIA,AGRICOLA,True,2016-02-20,,True,0.90,FIEL
VGM,Vita Group Medical BRASIL LTDA,Vita Group Medical,84578031000114,CLIENTE,GRANDE,SAUDE_HUMANA,False,2021-12-05,2025-05-06,False,0.98,REGULAR
VTC,BioVet Care COMÉRCIO E DISTRIBUIÇÃO LTDA,BioVet Care,49843197000110,CLIENTE,MEDIA,AGRICOLA,True,2016-05-14,,True,0.90,FIEL
VGB,Vitta Group Belle BRASIL LTDA,Vitta Group Belle,80153050000148,CLIENTE,GRANDE,ESTETICA_BELEZA,True,2020-04-19,,True,0.95,REGULAR
MGF,Marea Group Fashion LTDA,Marea Group Fashion,67888628000146,CLIENTE,MICRO,MODA_ACESSORIOS,False,2020-08-24,2025-04-04,False,0.90,REGULAR
BSB,BioOral Solutions LTDA,BioOral Solutions,34806162000133,CLIENTE,PEQUENA,ODONTOLOGICO,True,2020-04-17,2025-03-03,False,0.90,REGULAR
TAT,Trama Atelier BRASIL LTDA,Trama Atelier,15920235000179,CLIENTE,MEDIA,AGRICOLA,True,2016-05-01,,True,0.90,FIEL
SGS,Strong Group Sport INDÚSTRIA E COMÉRCIO LTDA,Strong Group Sport,37270302000190,CLIENTE,GRANDE,SUPLEMENTOS_ALIMENTARES,False,2023-11-03,,True,0.95,REGULAR
BAB,BelaMesa Alimentos COMÉRCIO E DISTRIBUIÇÃO LTDA,BelaMesa Alimentos,78664316000175,CLIENTE,GRANDE,ALIMENTICIO,True,2022-04-11,2025-04-03,False,0.98,REGULAR
VFV,Voga Fashion COMÉRCIO E DISTRIBUIÇÃO LTDA,Voga Fashion,41312559000134,CLIENTE,GRANDE,MODA_ACESSORIOS,True,2016-11-17,2024-07-26,False,0.95,REGULAR
LMB,Lumi Belle BRASIL LTDA,Lumi Belle,12880021000128,CLIENTE,PEQUENA,ESTETICA_BELEZA,True,2023-06-20,2025-02-27,False,0.90,REGULAR
NBN,Nobre Brasil BRASIL LTDA,Nobre Brasil,90434820000184,CLIENTE,PEQUENA,JOALHERIA,True,2019-10-19,,True,0.90,REGULAR
NCN,Noma Collection BRASIL LTDA,Noma Collection,30933122000100,CLIENTE,MICRO,MODA_ACESSORIOS,False,2019-12-27,,True,0.90,REGULAR
SFR,Safira Gemas BRASIL LTDA,Safira Gemas,53015973000160,CLIENTE,PEQUENA,JOALHERIA,False,2019-01-08,2025-04-07,False,0.90,REGULAR
VTT,Vitta Care COMÉRCIO E DISTRIBUIÇÃO LTDA,Vitta Care,26877958000159,CLIENTE,GRANDE,ESTETICA_BELEZA,True,2021-11-14,2025-06-19,False,0.98,REGULAR
DDD,Dermo Derm LTDA,Dermo Derm,59987852000167,CLIENTE,MEDIA,AGRICOLA,False,2016-06-22,,True,0.90,FIEL
NSN,Nexa Smart S.A.,Nexa Smart,83298527000171,CLIENTE,MEDIA,ELETRONICOS,True,2016-01-16,,True,0.90,FIEL
MSM,Med Solutions LTDA,Med Solutions,84110884000127,CLIENTE,MEDIA,SAUDE_HUMANA,True,2016-05-20,,True,0.90,FIEL
ECS,Essenza Cosmetics S.A.,Essenza Cosmetics,49854559000178,CLIENTE,MEDIA,ESTETICA_BELEZA,True,2016-06-14,,True,0.90,FIEL
VVV,Vita Vitta INDÚSTRIA E COMÉRCIO LTDA,Vita Vitta,70658439000191,CLIENTE,PEQUENA,SAUDE_HUMANA,False,2022-03-07,,True,0.90,REGULAR
LGF,Linea Group Fashion BRASIL LTDA,Linea Group Fashion,97832082000172,CLIENTE,PEQUENA,MODA_ACESSORIOS,True,2017-01-22,2023-05-10,False,0.90,REGULAR
AGG,Alimora Group Gourmet S.A.,Alimora Group Gourmet,45356186000154,CLIENTE,GRANDE,ALIMENTICIO,True,2018-11-04,,True,0.95,REGULAR
CSC,Core Sport S.A.,Core Sport,45349462000157,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,False,2016-02-10,,True,0.90,FIEL
SMS,Sorriso Medical S.A.,Sorriso Medical,53890034000165,CLIENTE,MEDIA,ODONTOLOGICO,False,2016-04-08,,True,0.90,FIEL
VLV,VitaUp Life BRASIL LTDA,VitaUp Life,35482426000103,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,True,2016-02-11,,True,0.90,FIEL
EBS,Essenza Beauty LTDA,Essenza Beauty,64322646000178,CLIENTE,MICRO,ESTETICA_BELEZA,False,2022-06-09,,True,0.90,REGULAR
CDC,Core Digital S.A.,Core Digital,76032823000160,CLIENTE,MEDIA,ELETRONICOS,False,2020-01-19,2023-02-05,False,0.90,REGULAR
